Region,ResturantName,Cuisine,Reviews,Stars,Excellent,VeryGood,Poor,Average,Terrible,FoodRating,ServiceRating,ValueRating,Branch
Riyadh,The Globe,European,2,4.5,633,230,32,94,16,4,4.5,3.5,
Riyadh,Spazio,French,10,3.5,50,59,25,46,20,3.5,3.5,3,
Riyadh,Piatto,Italian,0,4,339,311,21,83,24,4,4,4,
Riyadh,Assaraya Turkish,Mediterranean,0,4,97,115,21,42,17,4,4,4,
Riyadh,Myazu,Japanese,9,4.5,331,101,19,35,15,4.5,4.5,4,
Riyadh,Karam Beirut,Lebanese,3,4,113,116,18,42,11,4.5,4,3.5,
Riyadh,Tokyo,Japanese,2,4,216,152,16,47,19,4,4,4,
Riyadh,Kosebasi,Turkish,17,3.5,19,24,14,8,8,3.5,3.5,3,
Riyadh,Cafe Bateel,Cafe,7,4.5,249,132,13,42,5,4.5,4.5,4,
Riyadh,Maharaja East by Vineet,Indian,13,4,84,21,13,7,6,4,4.5,3.5,
Riyadh,Sushi Yoshi,Japanese,9,3.5,42,43,11,17,11,4,3.5,3.5,
Riyadh,Chili's,American,11,3.5,32,39,11,41,19,3.5,4,3.5,
Riyadh,Lusin,Mediterranean,5,4.5,327,151,10,33,20,4.5,4.5,3.5,
Riyadh,The Butcher Shop and Grill,Steakhouse,5,4,117,106,10,25,5,4.5,4.5,3.5,
Riyadh,Darbar ,Indian,4,3.5,29,64,10,19,17,3.5,3.5,3.5,
Riyadh,Abdel Wahab,Lebanese,3,3.5,19,26,10,11,6,3.5,3.5,3,
Riyadh,Le Relais de I'entrecote,French,3,3.5,21,24,10,11,4,4,4,3.5,
Riyadh,Steaky,Steakhouse,0,3.5,29,22,10,9,7,4,4.5,4,
Riyadh,Burj Al Hamam,Lebanese,0,4,51,81,9,18,2,4.5,4,4,
Riyadh,DIAMOND,Chinese,4,4,47,41,9,16,3,4,4,3,
Riyadh,Al Nafoura ,Seafood,3,3.5,20,41,9,21,5,4,3.5,4,
Riyadh,TGI Friday's,American,6,3.5,23,38,9,23,11,3.5,4,3.5,
Riyadh,Mondo ,Mediterranean,0,4,49,26,9,10,3,4,4.5,3.5,
Riyadh,Al Orjouan,Mediterranean,3,5,1499,74,8,16,4,4.5,4.5,4,
Riyadh,Steak House,American,12,4,41,53,8,21,7,4,4,4,
Riyadh,Indian Summer,Indian,2,3.5,27,40,8,24,11,4,4,3.5,
Riyadh,San Carlo Cicchetti,Italian,6,4,25,7,8,6,2,4.5,4,3.5,
Riyadh,Najd Village,Middle Eastern,2,4,218,188,7,64,12,4,4,4,
Riyadh,Kampai,Japanese,8,4,82,57,7,24,3,4.5,4.5,3.5,
Riyadh,Red Chilli ,Chinese,6,4,49,55,7,17,5,4,4,4,
Riyadh,Burger Boutique,American,17,4,40,52,7,21,9,4.5,4,3.5,
Riyadh,Shogun at Radisson Blu,Japanese,0,4,80,35,7,22,8,4,4.5,4,
Riyadh,Fairouz Garden,Mediterranean,6,3.5,11,9,7,6,4,3.5,3.5,3,
Riyadh,Planet Hollywood,American,21,3,5,8,7,7,5,3,3.5,3,
Riyadh,Copper Chandni,Indian,7,3.5,15,32,6,15,7,4,3.5,3,
Riyadh,Amo Hamza,Seafood,9,3.5,8,28,6,14,6,3.5,3.5,3,
Riyadh,Saravanaa Bhavan,Indian,3,4,21,27,6,6,6,4,3.5,3.5,
Riyadh,Almayass,Middle Eastern,16,4,15,25,6,11,3,4,4,3,
Riyadh,Steak House,American,10,3.5,11,24,6,13,2,3.5,3.5,3.5,
Riyadh,Johnny Rockets,American,0,3.5,18,24,6,17,7,4,4,3.5,
Riyadh,YOKARI,Japanese,16,4.5,52,17,6,6,1,4.5,5,4,
Riyadh,Makani Indian Cuisine,Indian,29,3.5,12,16,6,18,3,4,3,4,
Riyadh,Najd Village,Middle Eastern,12,4.5,139,96,5,32,4,4.5,4.5,4.5,
Riyadh,Steak House,American,11,4,32,32,5,17,4,4,4,3.5,
Riyadh,Al,Middle Eastern,13,4,23,24,5,5,1,4,4,4,Romansiah
Riyadh,Forchetta,Italian,4,3.5,20,23,5,27,12,3.5,4,3.5,
Riyadh,Pizza Amore,Italian,9,4,19,19,5,7,0,4.5,4,3.5,
Riyadh,Nafoorah Seafood,Seafood,0,3.5,17,19,5,12,3,4,3.5,3.5,
Riyadh,La Piazza ,Seafood,4,4,54,16,5,16,1,4.5,4.5,4,
Riyadh,The Pizza Company,Italian,7,3.5,14,14,5,7,6,3.5,3,3,
Riyadh,Gulluoglu ksa,Mediterranean,2,4,16,13,5,11,2,4,4,3.5,
Riyadh,Copper Chandni,Indian,8,3.5,4,8,5,4,2,4,4,3,
