,level_0,index,URLS,Title,OverAll,Time,Rank,
0,0,41,https://www.tripadvisor.com//Attraction_Review-g293995-d675824-Reviews-Kingdom_Centre_Tower-Riyadh_Riyadh_Province.html,['Kingdom Centre Tower'],"['4.5 of 5 bubbles. 1,861 reviews']",['12:00 AM - 11:59 PM'],['#5,88 things to do in Riyadh']
1,1,48,https://www.tripadvisor.com//Attraction_Review-g293995-d319489-Reviews-National_Museum-Riyadh_Riyadh_Province.html,['National Museum'],['4.5 of 5 bubbles. 696 reviews'],['9:00 AM - 9:00 PM'],['#3,88 things to do in Riyadh']
2,2,55,https://www.tripadvisor.com//Attraction_Review-g293995-d319490-Reviews-Al_Masmak_Fortress-Riyadh_Riyadh_Province.html,['Al Masmak Fortress'],['4.5 of 5 bubbles. 619 reviews'],"['8:00 AM - 12:00 PM, 4:00 PM - 9:00 PM']",['#4,88 things to do in Riyadh']
3,3,62,https://www.tripadvisor.com//Attraction_Review-g293995-d8471270-Reviews-Al_Nakheel_Mall-Riyadh_Riyadh_Province.html,['Al Nakheel Mall'],['4.5 of 5 bubbles. 287 reviews'],['9:30 AM - 11:30 PM'],['#2,88 things to do in Riyadh']
4,4,68,https://www.tripadvisor.com//Attraction_Review-g293995-d8150867-Reviews-Al_Rajhi_Grand_Mosque-Riyadh_Riyadh_Province.html,['Al Rajhi Grand Mosque'],['5.0 of 5 bubbles. 318 reviews'],['12:00 AM - 11:59 PM'],['#1,88 things to do in Riyadh']
5,5,74,https://www.tripadvisor.com//Attraction_Review-g293995-d7250993-Reviews-King_Abdullah_Park-Riyadh_Riyadh_Province.html,['King Abdullah Park'],['4.5 of 5 bubbles. 300 reviews'],1PM–12AM,['#6,88 things to do in Riyadh']
6,6,80,https://www.tripadvisor.com//Attraction_Review-g293995-d319505-Reviews-Riyadh_Zoo-Riyadh_Riyadh_Province.html,['Riyadh Zoo'],['3.5 of 5 bubbles. 593 reviews'],['8:30 AM - 6:00 PM'],['#18,88 things to do in Riyadh']
7,7,86,https://www.tripadvisor.com//Attraction_Review-g293995-d3140287-Reviews-Riyadh_Gallery_Mall-Riyadh_Riyadh_Province.html,['Riyadh Gallery Mall'],['4.0 of 5 bubbles. 248 reviews'],9AM–12AM,['#10,88 things to do in Riyadh']
8,8,92,https://www.tripadvisor.com//Attraction_Review-g293995-d2646188-Reviews-Hayat_Mall-Riyadh_Riyadh_Province.html,['Hayat Mall'],['4.0 of 5 bubbles. 89 reviews'],['12:00 AM - 11:59 PM'],['#19,88 things to do in Riyadh']
9,9,98,https://www.tripadvisor.com//Attraction_Review-g293995-d2615272-Reviews-Panorama_Mall-Riyadh_Riyadh_Province.html,['Panorama Mall'],['4.0 of 5 bubbles. 115 reviews'],9AM–1AM,['#14,88 things to do in Riyadh']
10,10,104,https://www.tripadvisor.com//Attraction_Review-g293995-d2524569-Reviews-Granada_Center-Riyadh_Riyadh_Province.html,['Granada Center'],['4.0 of 5 bubbles. 243 reviews'],9AM–1AM,['#12,88 things to do in Riyadh']
11,11,110,https://www.tripadvisor.com//Attraction_Review-g293995-d16850027-Reviews-Riyadh_Park_Mall-Riyadh_Riyadh_Province.html,['Riyadh Park Mall'],['4.5 of 5 bubbles. 52 reviews'],9AM–1AM,['#19,88 things to do in Riyadh']
12,12,117,https://www.tripadvisor.com//Attraction_Review-g293995-d2441573-Reviews-Al_Faisaliyah_Centre-Riyadh_Riyadh_Province.html,['Al Faisaliyah Centre'],['4.0 of 5 bubbles. 660 reviews'],['9:30 AM - 11:30 PM'],['#8,88 things to do in Riyadh']
13,13,123,https://www.tripadvisor.com//Attraction_Review-g293995-d8670865-Reviews-Wadi_Namar-Riyadh_Riyadh_Province.html,['Wadi Namar'],['4.0 of 5 bubbles. 99 reviews'],24 hours,['#22,88 things to do in Riyadh']
14,14,129,https://www.tripadvisor.com//Attraction_Review-g293995-d4022456-Reviews-King_Abdulaziz_Historical_Center-Riyadh_Riyadh_Province.html,['King Abdulaziz Historical Center'],['4.5 of 5 bubbles. 142 reviews'],Temporarily closed,['#11,88 things to do in Riyadh']
15,15,135,https://www.tripadvisor.com//Attraction_Review-g293995-d2572906-Reviews-King_Abdulaziz_Equestrian_Field-Riyadh_Riyadh_Province.html,['King Abdulaziz Equestrian Field'],['4.5 of 5 bubbles. 103 reviews'],4PM-12PM,['#7,88 things to do in Riyadh']
16,16,141,https://www.tripadvisor.com//Attraction_Review-g293995-d5529963-Reviews-Tahlia_Street-Riyadh_Riyadh_Province.html,['Tahlia Street'],['4.0 of 5 bubbles. 142 reviews'],24 hours,['#15,88 things to do in Riyadh']
17,17,147,https://www.tripadvisor.com//Attraction_Review-g293995-d10020476-Reviews-Janadriyah_Festival-Riyadh_Riyadh_Province.html,['Janadriyah Festival'],['4.5 of 5 bubbles. 39 reviews'],Permanently closed,['#24,88 things to do in Riyadh']
